7 Z: 0.99)
LSM6DSO | Gyro: (X: 119.15 Y: -52.24 Z: -79.06) | Accl: (X: 0.26 Y: -0.33 Z: 0.92)
LSM6DSO | Gyro: (X: 106.22 Y: -72.98 Z: -58.05) | Accl: (X: 0.27 Y: -0.05 Z: 0.88)
LSM6DSO | Gyro: (X: 98.36 Y: -73.78 Z: -54.15) | Accl: (X: 0.30 Y: -0.05 Z: 0.82)
LSM6DSO | Gyro: (X: 88.13 Y: -60.69 Z: -47.35) | Accl: (X: 0.32 Y: -0.17 Z: 0.77)
LSM6DSO | Gyro: (X: 61.96 Y: -32.80 Z: -52.24) | Accl: (X: 0.42 Y: -0.01 Z: 0.94)
LSM6DSO | Gyro: (X: 73.91 Y: -33.12 Z: -50.99) | Accl: (X: 0.36 Y: 0.10 Z: 0.92)
LSM6DSO | Gyro: (X: 72.53 Y: -21.81 Z: -41.19) | Accl: (X: 0.37 Y: 0.07 Z: 0.83)
LSM6DSO | Gyro: (X: 60.56 Y: -23.76 Z: -37.62) | Accl: (X: 0.51 Y: 0.20 Z: 0.84)
LSM6DSO | Gyro: (X: 59.91 Y: -23.82 Z: -39.08) | Accl: (X: 0.48 Y: 0.25 Z: 0.78)
LSM6DSO | Gyro: (X: 53.53 Y: -15.93 Z: -35.74) | Accl: (X: 0.46 Y: 0.28 Z: 0.70)
LSM6DSO | Gyro: (X: 21.57 Y: 0.58 Z: -7.38) | Accl: (X: 0.36 Y: 0.30 Z: 0.79)
LSM6DSO | Gyro: (X: 20.17 Y: 5.61 Z: 0.07) | Accl: (X: 0.37 Y: 0.29 Z: 0.78)
LSM6DSO | Gyro: (X: 18.86 Y: 6.15 Z: 4.87) | Accl: (X: 0.43 Y: 0.33 Z: 0.80)
LSM6DSO | Gyro: (X: 4.63 Y: -6.64 Z: -2.09) | Accl: (X: 0.47 Y: 0.33 Z: 0.77)
LSM6DSO | Gyro: (X: -0.17 Y: -7.54 Z: -1.50) | Accl: (X: 0.46 Y: 0.34 Z: 0.79)
LSM6DSO | Gyro: (X: -0.13 Y: -2.59 Z: 0.59) | Accl: (X: 0.48 Y: 0.34 Z: 0.83)
LSM6DSO | Gyro: (X: -4.31 Y: 0.18 Z: 4.23) | Accl: (X: 0.48 Y: 0.33 Z: 0.79)
LSM6DSO | Gyro: (X: -5.22 Y: 4.51 Z: 5.14) | Accl: (X: 0.47 Y: 0.32 Z: 0.79)
LSM6DSO | Gyro: (X: -6.09 Y: 5.17 Z: 5.73) | Accl: (X: 0.46 Y: 0.31 Z: 0.79)
LSM6DSO | Gyro: (X: -8.80 Y: -1.76 Z: 7.66) | Accl: (X: 0.46 Y: 0.30 Z: 0.85)
LSM6DSO | Gyro: (X: -2.92 Y: 1.04 Z: 9.76) | Accl: (X: 0.50 Y: 0.29 Z: 0.78)
LSM6DSO | Gyro: (X: -8.53 Y: -3.18 Z: 8.24) | Accl: (X: 0.52 Y: 0.29 Z: 0.73)
LSM6DSO | Gyro: (X: -18.06 Y: -10.19 Z: 5.22) | Accl: (X: 0.54 Y: 0.27 Z: 0.72)
LSM6DSO | Gyro: (X: -23.95 Y: -28.01 Z: -12.32) | Accl: (X: 0.54 Y: 0.21 Z: 0.91)
LSM6DSO | Gyro: (X: -22.20 Y: -42.32 Z: -15.31) | Accl: (X: 0.55 Y: 0.22 Z: 0.89)
LSM6DSO | Gyro: (X: -21.42 Y: -50.06 Z: -18.95) | Accl: (X: 0.52 Y: 0.21 Z: 0.84)
LSM6DSO | Gyro: (X: -45.99 Y: -119.24 Z: -39.52) | Accl: (X: 0.71 Y: 0.21 Z: 0.79)
LSM6DSO | Gyro: (X: -49.38 Y: -133.98 Z: -49.47) | Accl: (X: 0.76 Y: 0.18 Z: 0.76)
LSM6DSO | Gyro: (X: -52.91 Y: -144.08 Z: -59.40) | Accl: (X: 0.72 Y: 0.17 Z: 0.77)
LSM6DSO | Gyro: (X: -35.88 Y: -94.05 Z: -49.67) | Accl: (X: 0.69 Y: 0.20 Z: 0.75)
LSM6DSO | Gyro: (X: -33.01 Y: -90.36 Z: -46.60) | Accl: (X: 0.71 Y: 0.19 Z: 0.68)
LSM6DSO | Gyro: (X: -34.60 Y: -88.81 Z: -43.59) | Accl: (X: 0.75 Y: 0.22 Z: 0.65)
LSM6DSO | Gyro: (X: -32.70 Y: -100.75 Z: -52.89) | Accl: (X: 0.85 Y: 0.24 Z: 0.64)
LSM6DSO | Gyro: (X: -30.17 Y: -101.22 Z: -51.62) | Accl: (X: 0.83 Y: 0.20 Z: 0.60)
LSM6DSO | Gyro: (X: -27.41 Y: -86.85 Z: -48.19) | Accl: (X: 0.89 Y: 0.20 Z: 0.61)
LSM6DSO | Gyro: (X: -7.25 Y: -24.69 Z: -18.17) | Accl: (X: 0.75 Y: 0.28 Z: 0.52)
LSM6DSO | Gyro: (X: -8.58 Y: -24.77 Z: -14.30) | Accl: (X: 0.80 Y: 0.30 Z: 0.48)
LSM6DSO | Gyro: (X: -10.74 Y: -30.56 Z: -14.21) | Accl: (X: 0.83 Y: 0.27 Z: 0.47)
LSM6DSO | Gyro: (X: 1.01 Y: -10.80 Z: -16.54) | Accl: (X: 0.81 Y: 0.28 Z: 0.51)
LSM6DSO | Gyro: (X: 1.95 Y: -12.59 Z: -12.95) | Accl: (X: 0.79 Y: 0.28 Z: 0.49)
LSM6DSO | Gyro: (X: 3.66 Y: -3.12 Z: -5.73) | Accl: (X: 0.78 Y: 0.29 Z: 0.46)
LSM6DSO | Gyro: (X: 13.08 Y: 44.76 Z: 17.92) | Accl: (X: 0.86 Y: 0.28 Z: 0.53)
LSM6DSO | Gyro: (X: 18.40 Y: 68.64 Z: 25.88) | Accl: (X: 0.82 Y: 0.29 Z: 0.53)
LSM6DSO | Gyro: (X: 25.43 Y: 100.54 Z: 38.40) | Accl: (X: 0.75 Y: 0.29 Z: 0.53)
LSM6DSO | Gyro: (X: 29.94 Y: 140.50 Z: 64.31) | Accl: (X: 0.70 Y: 0.30 Z: 0.49)
LSM6DSO | Gyro: (X: 20.10 Y: 162.01 Z: 83.56) | Accl: (X: 0.76 Y: 0.22 Z: 0.64)
LSM6DSO | Gyro: (X: 19.42 Y: 172.86 Z: 85.30) | Accl: (X: 0.75 Y: 0.20 Z: 0.72)
LSM6DSO | Gyro: (X: 26.92 Y: 193.22 Z: 89.61) | Accl: (X: 0.69 Y: 0.18 Z: 0.77)
LSM6DSO | Gyro: (X: 18.24 Y: 178.54 Z: 74.33) | Accl: (X: 0.61 Y: 0.11 Z: 0.88)
LSM6DSO | Gyro: (X: 17.11 Y: 189.56 Z: 72.00) | Accl: (X: 0.55 Y: 0.14 Z: 0.91)
LSM6DSO | Gyro: (X: 18.44 Y: 202.98 Z: 69.60) | Accl: (X: 0.48 Y: 0.12 Z: 0.92)
LSM6DSO | Gyro: (X: 19.31 Y: 180.69 Z: 69.00) | Accl: (X: 0.21 Y: 0.10 Z: 1.11)
LSM6DSO | Gyro: (X: 26.25 Y: 179.18 Z: 66.68) | Accl: (X: 0.21 Y: 0.12 Z: 1.14)
LSM6DSO | Gyro: (X: 31.06 Y: 176.58 Z: 62.80) | Accl: (X: 0.18 Y: 0.10 Z: 1.10)
LSM6DSO | Gyro: (X: 33.10 Y: 118.81 Z: 31.81) | Accl: (X: -0.03 Y: 0.13 Z: 0.96)
LSM6DSO | Gyro: (X: 26.37 Y: 88.08 Z: 20.03) | Accl: (X: -0.01 Y: 0.14 Z: 0.94)
LSM6DSO | Gyro: (X: 17.47 Y: 59.29 Z: 3.70) | Accl: (X: -0.02 Y: 0.16 Z: 0.98)
LSM6DSO | Gyro: (X: 22.64 Y: 23.47 Z: -18.37) | Accl: (X: -0.22 Y: 0.17 Z: 0.99)
